SDL
	version: 2.0.9
Network
	Initialized.
OpenAL
	vendor: Apple Computer Inc.
	device: Built-in Output
	renderer: Software
	version: 1.1
Render
	ppm: 32.000000
Physics
	bodies: 300
	circle shapes: 100
	segment shapes: 100
	polygon shapes: 200
	pivot joints: 100
	gear joints: 100
	damped springs: 100
OpenGL
	vendor: NVIDIA Corporation
	renderer: NVIDIA GeForce GT 650M OpenGL Engine
	version: 2.1 NVIDIA-12.0.21 355.11.10.50.10.103
	glsl: 1.20
Initializing cpSpace - Chipmunk v7.0.1 (Debug Enabled)
Compile with -DNDEBUG defined to disable debug mode and runtime assertion checks
TextureFactory - Unable to find 'res/sprite_atlas.png' in cache.
TextureFactory - Unable to find 'res/textures/flare.png' in cache.
TextureFactory - Unable to find 'res/textures/white_box_placeholder.png' in cache.
TextureFactory - Unable to find 'res/textures/smoke.png' in cache.
System - Controller added: 0, 0, PS4 Controller
1 - copy: 1160, iterate: 0, total: 1160
1 - copy: 1078, iterate: 0, total: 1078
1 - copy: 571, iterate: 0, total: 571
1 - copy: 1122, iterate: 0, total: 1122
1 - copy: 583, iterate: 0, total: 583
1 - copy: 530, iterate: 0, total: 530
1 - copy: 723, iterate: 0, total: 723
1 - copy: 626, iterate: 0, total: 626
1 - copy: 500, iterate: 0, total: 500
1 - copy: 736, iterate: 0, total: 736
1 - copy: 681, iterate: 0, total: 681
1 - copy: 1373, iterate: 0, total: 1373
1 - copy: 644, iterate: 0, total: 644
1 - copy: 628, iterate: 0, total: 628
1 - copy: 631, iterate: 0, total: 631
1 - copy: 586, iterate: 0, total: 586
1 - copy: 560, iterate: 0, total: 560
1 - copy: 661, iterate: 0, total: 661
1 - copy: 907, iterate: 0, total: 907
1 - copy: 626, iterate: 0, total: 626
1 - copy: 737, iterate: 0, total: 737
1 - copy: 611, iterate: 0, total: 611
1 - copy: 813, iterate: 0, total: 813
1 - copy: 1302, iterate: 0, total: 1302
1 - copy: 585, iterate: 0, total: 585
1 - copy: 697, iterate: 0, total: 697
1 - copy: 685, iterate: 0, total: 685
1 - copy: 652, iterate: 0, total: 652
1 - copy: 897, iterate: 0, total: 897
1 - copy: 638, iterate: 0, total: 638
1 - copy: 591, iterate: 0, total: 591
1 - copy: 662, iterate: 0, total: 662
1 - copy: 823, iterate: 0, total: 823
1 - copy: 950, iterate: 0, total: 950
1 - copy: 680, iterate: 0, total: 680
1 - copy: 557, iterate: 0, total: 557
1 - copy: 488, iterate: 0, total: 488
1 - copy: 641, iterate: 0, total: 641
1 - copy: 792, iterate: 0, total: 792
1 - copy: 535, iterate: 0, total: 535
1 - copy: 833, iterate: 0, total: 833
1 - copy: 1042, iterate: 0, total: 1042
1 - copy: 822, iterate: 0, total: 822
1 - copy: 776, iterate: 0, total: 776
1 - copy: 690, iterate: 0, total: 690
1 - copy: 555, iterate: 0, total: 555
1 - copy: 478, iterate: 0, total: 478
1 - copy: 646, iterate: 0, total: 646
1 - copy: 799, iterate: 0, total: 799
1 - copy: 814, iterate: 0, total: 814
1 - copy: 559, iterate: 0, total: 559
1 - copy: 645, iterate: 0, total: 645
1 - copy: 798, iterate: 0, total: 798
1 - copy: 930, iterate: 0, total: 930
1 - copy: 564, iterate: 0, total: 564
1 - copy: 567, iterate: 0, total: 567
1 - copy: 568, iterate: 0, total: 568
1 - copy: 733, iterate: 0, total: 733
1 - copy: 742, iterate: 0, total: 742
1 - copy: 540, iterate: 0, total: 540
1 - copy: 574, iterate: 0, total: 574
1 - copy: 618, iterate: 0, total: 618
1 - copy: 1048, iterate: 0, total: 1048
1 - copy: 907, iterate: 0, total: 907
1 - copy: 956, iterate: 0, total: 956
1 - copy: 593, iterate: 0, total: 593
1 - copy: 628, iterate: 0, total: 628
1 - copy: 723, iterate: 0, total: 723
