SDL
	version: 2.0.9
Network
	Initialized.
OpenAL
	vendor: Apple Computer Inc.
	device: Built-in Output
	renderer: Software
	version: 1.1
Render
	ppm: 32.000000
Physics
	bodies: 300
	circle shapes: 100
	segment shapes: 100
	polygon shapes: 200
	pivot joints: 100
	gear joints: 100
	damped springs: 100
OpenGL
	vendor: NVIDIA Corporation
	renderer: NVIDIA GeForce GT 650M OpenGL Engine
	version: 2.1 NVIDIA-12.0.21 355.11.10.50.10.103
	glsl: 1.20
Initializing cpSpace - Chipmunk v7.0.1 (Debug Enabled)
Compile with -DNDEBUG defined to disable debug mode and runtime assertion checks
TextureFactory - Unable to find 'res/sprite_atlas.png' in cache.
TextureFactory - Unable to find 'res/textures/white_box_placeholder.png' in cache.
System - Controller added: 0, 0, PS4 Controller
1 - copy: 3531, iterate: 0, total: 3531
1 - copy: 1215, iterate: 0, total: 1215
1 - copy: 942, iterate: 0, total: 942
1 - copy: 916, iterate: 0, total: 916
1 - copy: 1061, iterate: 0, total: 1061
1 - copy: 991, iterate: 0, total: 991
1 - copy: 1083, iterate: 0, total: 1083
1 - copy: 690, iterate: 0, total: 690
1 - copy: 735, iterate: 0, total: 735
1 - copy: 1183, iterate: 0, total: 1183
1 - copy: 1123, iterate: 0, total: 1123
1 - copy: 453, iterate: 0, total: 453
1 - copy: 524, iterate: 0, total: 524
1 - copy: 529, iterate: 0, total: 529
1 - copy: 509, iterate: 0, total: 509
1 - copy: 542, iterate: 0, total: 542
1 - copy: 458, iterate: 0, total: 458
1 - copy: 614, iterate: 0, total: 614
1 - copy: 886, iterate: 0, total: 886
1 - copy: 458, iterate: 0, total: 458
1 - copy: 453, iterate: 0, total: 453
1 - copy: 488, iterate: 0, total: 488
1 - copy: 481, iterate: 0, total: 481
1 - copy: 643, iterate: 0, total: 643
1 - copy: 492, iterate: 0, total: 492
1 - copy: 636, iterate: 0, total: 636
1 - copy: 441, iterate: 0, total: 441
1 - copy: 599, iterate: 0, total: 599
1 - copy: 454, iterate: 0, total: 454
1 - copy: 490, iterate: 0, total: 490
1 - copy: 648, iterate: 0, total: 648
1 - copy: 593, iterate: 0, total: 593
1 - copy: 448, iterate: 0, total: 448
1 - copy: 477, iterate: 0, total: 477
1 - copy: 441, iterate: 0, total: 441
1 - copy: 465, iterate: 0, total: 465
1 - copy: 578, iterate: 0, total: 578
1 - copy: 756, iterate: 0, total: 756
1 - copy: 806, iterate: 0, total: 806
1 - copy: 464, iterate: 0, total: 464
1 - copy: 626, iterate: 0, total: 626
1 - copy: 455, iterate: 0, total: 455
1 - copy: 485, iterate: 0, total: 485
1 - copy: 456, iterate: 0, total: 456
1 - copy: 483, iterate: 0, total: 483
1 - copy: 706, iterate: 0, total: 706
1 - copy: 522, iterate: 0, total: 522
1 - copy: 475, iterate: 0, total: 475
1 - copy: 574, iterate: 0, total: 574
1 - copy: 785, iterate: 0, total: 785
1 - copy: 721, iterate: 0, total: 721
1 - copy: 757, iterate: 0, total: 757
1 - copy: 1012, iterate: 0, total: 1012
1 - copy: 578, iterate: 0, total: 578
1 - copy: 542, iterate: 0, total: 542
1 - copy: 530, iterate: 0, total: 530
1 - copy: 563, iterate: 0, total: 563
1 - copy: 628, iterate: 0, total: 628
1 - copy: 896, iterate: 0, total: 896
1 - copy: 1388, iterate: 0, total: 1388
1 - copy: 520, iterate: 0, total: 520
1 - copy: 817, iterate: 0, total: 817
1 - copy: 1264, iterate: 0, total: 1264
1 - copy: 645, iterate: 0, total: 645
1 - copy: 569, iterate: 0, total: 569
1 - copy: 664, iterate: 0, total: 664
1 - copy: 868, iterate: 0, total: 868
1 - copy: 581, iterate: 0, total: 581
1 - copy: 590, iterate: 0, total: 590
1 - copy: 576, iterate: 0, total: 576
1 - copy: 485, iterate: 0, total: 485
1 - copy: 534, iterate: 0, total: 534
1 - copy: 468, iterate: 0, total: 468
1 - copy: 423, iterate: 0, total: 423
1 - copy: 432, iterate: 0, total: 432
1 - copy: 646, iterate: 0, total: 646
1 - copy: 919, iterate: 0, total: 919
1 - copy: 689, iterate: 0, total: 689
1 - copy: 679, iterate: 0, total: 679
1 - copy: 613, iterate: 0, total: 613
1 - copy: 673, iterate: 0, total: 673
1 - copy: 450, iterate: 0, total: 450
1 - copy: 448, iterate: 0, total: 448
1 - copy: 654, iterate: 0, total: 654
1 - copy: 545, iterate: 0, total: 545
1 - copy: 472, iterate: 0, total: 472
1 - copy: 533, iterate: 0, total: 533
1 - copy: 484, iterate: 0, total: 484
1 - copy: 547, iterate: 0, total: 547
1 - copy: 448, iterate: 0, total: 448
1 - copy: 699, iterate: 0, total: 699
1 - copy: 430, iterate: 0, total: 430
1 - copy: 551, iterate: 0, total: 551
1 - copy: 523, iterate: 0, total: 523
1 - copy: 449, iterate: 0, total: 449
1 - copy: 526, iterate: 0, total: 526
1 - copy: 546, iterate: 0, total: 546
1 - copy: 688, iterate: 0, total: 688
1 - copy: 500, iterate: 0, total: 500
1 - copy: 446, iterate: 0, total: 446
1 - copy: 472, iterate: 0, total: 472
1 - copy: 475, iterate: 0, total: 475
1 - copy: 467, iterate: 0, total: 467
1 - copy: 466, iterate: 0, total: 466
1 - copy: 469, iterate: 0, total: 469
1 - copy: 501, iterate: 0, total: 501
1 - copy: 541, iterate: 0, total: 541
1 - copy: 497, iterate: 0, total: 497
1 - copy: 615, iterate: 0, total: 615
1 - copy: 744, iterate: 0, total: 744
1 - copy: 957, iterate: 0, total: 957
1 - copy: 1028, iterate: 0, total: 1028
1 - copy: 761, iterate: 0, total: 761
1 - copy: 877, iterate: 0, total: 877
1 - copy: 516, iterate: 0, total: 516
1 - copy: 563, iterate: 0, total: 563
1 - copy: 517, iterate: 0, total: 517
1 - copy: 464, iterate: 0, total: 464
1 - copy: 697, iterate: 0, total: 697
1 - copy: 492, iterate: 0, total: 492
1 - copy: 473, iterate: 0, total: 473
1 - copy: 507, iterate: 0, total: 507
1 - copy: 532, iterate: 0, total: 532
1 - copy: 451, iterate: 0, total: 451
1 - copy: 698, iterate: 0, total: 698
1 - copy: 541, iterate: 0, total: 541
1 - copy: 486, iterate: 0, total: 486
1 - copy: 471, iterate: 0, total: 471
1 - copy: 534, iterate: 0, total: 534
1 - copy: 474, iterate: 0, total: 474
1 - copy: 578, iterate: 0, total: 578
1 - copy: 890, iterate: 0, total: 890
1 - copy: 532, iterate: 0, total: 532
1 - copy: 558, iterate: 0, total: 558
1 - copy: 548, iterate: 0, total: 548
1 - copy: 571, iterate: 0, total: 571
1 - copy: 583, iterate: 0, total: 583
1 - copy: 550, iterate: 0, total: 550
1 - copy: 836, iterate: 0, total: 836
1 - copy: 481, iterate: 0, total: 481
1 - copy: 482, iterate: 0, total: 482
1 - copy: 460, iterate: 0, total: 460
1 - copy: 735, iterate: 0, total: 735
1 - copy: 653, iterate: 0, total: 653
1 - copy: 463, iterate: 0, total: 463
1 - copy: 486, iterate: 0, total: 486
1 - copy: 507, iterate: 0, total: 507
1 - copy: 508, iterate: 0, total: 508
1 - copy: 502, iterate: 0, total: 502
1 - copy: 538, iterate: 0, total: 538
1 - copy: 480, iterate: 0, total: 480
1 - copy: 658, iterate: 0, total: 658
1 - copy: 496, iterate: 0, total: 496
1 - copy: 552, iterate: 0, total: 552
1 - copy: 520, iterate: 0, total: 520
1 - copy: 469, iterate: 0, total: 469
1 - copy: 468, iterate: 0, total: 468
1 - copy: 527, iterate: 0, total: 527
1 - copy: 601, iterate: 0, total: 601
1 - copy: 463, iterate: 0, total: 463
1 - copy: 447, iterate: 0, total: 447
1 - copy: 487, iterate: 0, total: 487
1 - copy: 572, iterate: 0, total: 572
1 - copy: 490, iterate: 0, total: 490
1 - copy: 673, iterate: 0, total: 673
1 - copy: 529, iterate: 0, total: 529
1 - copy: 832, iterate: 0, total: 832
1 - copy: 598, iterate: 0, total: 598
1 - copy: 600, iterate: 0, total: 600
1 - copy: 1076, iterate: 0, total: 1076
1 - copy: 585, iterate: 0, total: 585
1 - copy: 659, iterate: 0, total: 659
1 - copy: 1156, iterate: 0, total: 1156
1 - copy: 664, iterate: 0, total: 664
1 - copy: 681, iterate: 0, total: 681
1 - copy: 692, iterate: 0, total: 692
1 - copy: 679, iterate: 0, total: 679
1 - copy: 561, iterate: 0, total: 561
1 - copy: 518, iterate: 0, total: 518
1 - copy: 764, iterate: 0, total: 764
1 - copy: 596, iterate: 0, total: 596
1 - copy: 691, iterate: 0, total: 691
1 - copy: 707, iterate: 0, total: 707
1 - copy: 596, iterate: 0, total: 596
1 - copy: 562, iterate: 0, total: 562
1 - copy: 558, iterate: 0, total: 558
1 - copy: 866, iterate: 0, total: 866
1 - copy: 574, iterate: 0, total: 574
1 - copy: 496, iterate: 0, total: 496
1 - copy: 499, iterate: 0, total: 499
1 - copy: 459, iterate: 0, total: 459
1 - copy: 467, iterate: 0, total: 467
1 - copy: 487, iterate: 0, total: 487
1 - copy: 637, iterate: 0, total: 637
1 - copy: 632, iterate: 0, total: 632
1 - copy: 485, iterate: 0, total: 485
1 - copy: 470, iterate: 0, total: 470
1 - copy: 485, iterate: 0, total: 485
1 - copy: 461, iterate: 0, total: 461
1 - copy: 472, iterate: 0, total: 472
1 - copy: 614, iterate: 0, total: 614
1 - copy: 482, iterate: 0, total: 482
1 - copy: 439, iterate: 0, total: 439
1 - copy: 507, iterate: 0, total: 507
1 - copy: 752, iterate: 0, total: 752
1 - copy: 773, iterate: 0, total: 773
1 - copy: 1168, iterate: 0, total: 1168
1 - copy: 1153, iterate: 0, total: 1153
1 - copy: 627, iterate: 0, total: 627
1 - copy: 608, iterate: 0, total: 608
1 - copy: 782, iterate: 0, total: 782
1 - copy: 675, iterate: 0, total: 675
1 - copy: 572, iterate: 0, total: 572
1 - copy: 692, iterate: 0, total: 692
1 - copy: 974, iterate: 0, total: 974
1 - copy: 629, iterate: 0, total: 629
1 - copy: 569, iterate: 0, total: 569
1 - copy: 620, iterate: 0, total: 620
1 - copy: 508, iterate: 0, total: 508
1 - copy: 540, iterate: 0, total: 540
1 - copy: 899, iterate: 0, total: 899
1 - copy: 684, iterate: 0, total: 684
1 - copy: 761, iterate: 0, total: 761
1 - copy: 994, iterate: 0, total: 994
1 - copy: 989, iterate: 0, total: 989
1 - copy: 678, iterate: 0, total: 678
1 - copy: 883, iterate: 0, total: 883
1 - copy: 967, iterate: 0, total: 967
1 - copy: 884, iterate: 0, total: 884
1 - copy: 935, iterate: 0, total: 935
1 - copy: 815, iterate: 0, total: 815
1 - copy: 1189, iterate: 0, total: 1189
1 - copy: 1077, iterate: 0, total: 1077
1 - copy: 1206, iterate: 0, total: 1206
1 - copy: 1058, iterate: 0, total: 1058
1 - copy: 1014, iterate: 0, total: 1014
1 - copy: 795, iterate: 0, total: 795
1 - copy: 683, iterate: 0, total: 683
1 - copy: 845, iterate: 0, total: 845
1 - copy: 1009, iterate: 0, total: 1009
1 - copy: 554, iterate: 0, total: 554
1 - copy: 1004, iterate: 0, total: 1004
1 - copy: 738, iterate: 0, total: 738
1 - copy: 682, iterate: 0, total: 682
1 - copy: 581, iterate: 0, total: 581
1 - copy: 616, iterate: 0, total: 616
1 - copy: 1051, iterate: 0, total: 1051
1 - copy: 546, iterate: 0, total: 546
1 - copy: 613, iterate: 0, total: 613
1 - copy: 784, iterate: 0, total: 784
1 - copy: 580, iterate: 0, total: 580
1 - copy: 595, iterate: 0, total: 595
1 - copy: 970, iterate: 0, total: 970
1 - copy: 514, iterate: 0, total: 514
1 - copy: 475, iterate: 0, total: 475
1 - copy: 612, iterate: 0, total: 612
1 - copy: 532, iterate: 0, total: 532
1 - copy: 551, iterate: 0, total: 551
1 - copy: 504, iterate: 0, total: 504
1 - copy: 662, iterate: 0, total: 662
1 - copy: 603, iterate: 0, total: 603
1 - copy: 620, iterate: 0, total: 620
1 - copy: 547, iterate: 0, total: 547
1 - copy: 582, iterate: 0, total: 582
1 - copy: 590, iterate: 0, total: 590
1 - copy: 607, iterate: 0, total: 607
1 - copy: 796, iterate: 0, total: 796
1 - copy: 657, iterate: 0, total: 657
1 - copy: 532, iterate: 0, total: 532
1 - copy: 655, iterate: 0, total: 655
1 - copy: 596, iterate: 0, total: 596
1 - copy: 630, iterate: 0, total: 630
1 - copy: 604, iterate: 0, total: 604
1 - copy: 837, iterate: 0, total: 837
1 - copy: 992, iterate: 0, total: 992
1 - copy: 588, iterate: 0, total: 588
1 - copy: 625, iterate: 0, total: 625
1 - copy: 794, iterate: 0, total: 794
1 - copy: 774, iterate: 0, total: 774
1 - copy: 839, iterate: 0, total: 839
1 - copy: 641, iterate: 0, total: 641
1 - copy: 637, iterate: 0, total: 637
1 - copy: 436, iterate: 0, total: 436
1 - copy: 692, iterate: 0, total: 692
1 - copy: 480, iterate: 0, total: 480
1 - copy: 547, iterate: 0, total: 547
1 - copy: 941, iterate: 0, total: 941
1 - copy: 538, iterate: 0, total: 538
1 - copy: 687, iterate: 0, total: 687
1 - copy: 554, iterate: 0, total: 554
1 - copy: 851, iterate: 0, total: 851
1 - copy: 478, iterate: 0, total: 478
1 - copy: 684, iterate: 0, total: 684
1 - copy: 712, iterate: 0, total: 712
1 - copy: 894, iterate: 0, total: 894
1 - copy: 471, iterate: 0, total: 471
1 - copy: 545, iterate: 0, total: 545
1 - copy: 672, iterate: 0, total: 672
1 - copy: 967, iterate: 0, total: 967
1 - copy: 757, iterate: 0, total: 757
1 - copy: 995, iterate: 0, total: 995
1 - copy: 783, iterate: 0, total: 783
1 - copy: 1214, iterate: 0, total: 1214
1 - copy: 891, iterate: 0, total: 891
1 - copy: 984, iterate: 0, total: 984
1 - copy: 987, iterate: 0, total: 987
